---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 02:21:08 (uptime: 0d, 00h 59m 45s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
capture.afpacket.polls                                       | Total                     | 793429
capture.afpacket.poll_timeout                                | Total                     | 785046
capture.afpacket.poll_data                                   | Total                     | 8383
decoder.pkts                                                 | Total                     | 35996
decoder.bytes                                                | Total                     | 22326878
decoder.ipv4                                                 | Total                     | 35175
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 35996
decoder.arp                                                  | Total                     | 696
decoder.tcp                                                  | Total                     | 33464
tcp.syn                                                      | Total                     | 223
tcp.synack                                                   | Total                     | 188
tcp.rst                                                      | Total                     | 44
decoder.udp                                                  | Total                     | 1826
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 620
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 20
flow.total                                                   | Total                     | 1092
flow.active                                                  | Total                     | 105
flow.tcp                                                     | Total                     | 199
flow.udp                                                     | Total                     | 883
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 192
tcp.ssn_from_cache                                           | Total                     | 85
tcp.ssn_from_pool                                            | Total                     | 107
tcp.pseudo                                                   | Total                     | 32
tcp.segment_from_cache                                       | Total                     | 7978
tcp.segment_from_pool                                        | Total                     | 264
tcp.stream_depth_reached                                     | Total                     | 2
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 860
app_layer.flow.http                                          | Total                     | 80
app_layer.tx.http                                            | Total                     | 82
app_layer.flow.tls                                           | Total                     | 92
app_layer.flow.ssh                                           | Total                     | 16
app_layer.flow.ntp                                           | Total                     | 531
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 258
app_layer.tx.dns_udp                                         | Total                     | 524
app_layer.tx.ntp                                             | Total                     | 1056
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 109
flow.end.state.established                                   | Total                     | 710
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 168
flow.mgr.full_hash_pass                                      | Total                     | 729
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10501
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2504
flow.mgr.flows_notimeout                                     | Total                     | 1517
flow.mgr.flows_timeout                                       | Total                     | 987
flow.mgr.flows_evicted                                       | Total                     | 987
flow.mgr.flows_evicted_needs_work                            | Total                     | 86
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 901
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1617920
http.memuse                                                  | Total                     | 2016
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 03:11:33 (uptime: 0d, 01h 50m 10s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 155466
capture.afpacket.polls                                       | Total                     | 795560
capture.afpacket.poll_timeout                                | Total                     | 785674
capture.afpacket.poll_data                                   | Total                     | 9886
decoder.pkts                                                 | Total                     | 155465
decoder.bytes                                                | Total                     | 189290240
decoder.ipv4                                                 | Total                     | 154644
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 155465
decoder.arp                                                  | Total                     | 696
decoder.tcp                                                  | Total                     | 152933
tcp.syn                                                      | Total                     | 224
tcp.synack                                                   | Total                     | 189
tcp.rst                                                      | Total                     | 44
decoder.udp                                                  | Total                     | 1826
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 1217
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 21
flow.total                                                   | Total                     | 1093
flow.active                                                  | Total                     | 106
flow.tcp                                                     | Total                     | 200
flow.udp                                                     | Total                     | 883
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 193
tcp.ssn_from_cache                                           | Total                     | 85
tcp.ssn_from_pool                                            | Total                     | 108
tcp.pseudo                                                   | Total                     | 34
tcp.segment_from_cache                                       | Total                     | 8788
tcp.segment_from_pool                                        | Total                     | 269
tcp.stream_depth_reached                                     | Total                     | 4
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 861
app_layer.flow.http                                          | Total                     | 80
app_layer.tx.http                                            | Total                     | 82
app_layer.flow.tls                                           | Total                     | 92
app_layer.flow.ssh                                           | Total                     | 17
app_layer.flow.ntp                                           | Total                     | 531
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 258
app_layer.tx.dns_udp                                         | Total                     | 524
app_layer.tx.ntp                                             | Total                     | 1056
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 109
flow.end.state.established                                   | Total                     | 710
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 168
flow.mgr.full_hash_pass                                      | Total                     | 730
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10501
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2546
flow.mgr.flows_notimeout                                     | Total                     | 1559
flow.mgr.flows_timeout                                       | Total                     | 987
flow.mgr.flows_evicted                                       | Total                     | 987
flow.mgr.flows_evicted_needs_work                            | Total                     | 86
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 901
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1499136
http.memuse                                                  | Total                     | 2016
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 03:11:41 (uptime: 0d, 01h 50m 18s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 155475
capture.afpacket.polls                                       | Total                     | 796635
capture.afpacket.poll_timeout                                | Total                     | 786746
capture.afpacket.poll_data                                   | Total                     | 9889
decoder.pkts                                                 | Total                     | 155474
decoder.bytes                                                | Total                     | 189294206
decoder.ipv4                                                 | Total                     | 154653
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 155474
decoder.arp                                                  | Total                     | 696
decoder.tcp                                                  | Total                     | 152942
tcp.syn                                                      | Total                     | 224
tcp.synack                                                   | Total                     | 189
tcp.rst                                                      | Total                     | 44
decoder.udp                                                  | Total                     | 1826
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 1217
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 21
flow.total                                                   | Total                     | 1093
flow.active                                                  | Total                     | 106
flow.tcp                                                     | Total                     | 200
flow.udp                                                     | Total                     | 883
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 193
tcp.ssn_from_cache                                           | Total                     | 85
tcp.ssn_from_pool                                            | Total                     | 108
tcp.pseudo                                                   | Total                     | 34
tcp.segment_from_cache                                       | Total                     | 8788
tcp.segment_from_pool                                        | Total                     | 269
tcp.stream_depth_reached                                     | Total                     | 4
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 861
app_layer.flow.http                                          | Total                     | 80
app_layer.tx.http                                            | Total                     | 82
app_layer.flow.tls                                           | Total                     | 92
app_layer.flow.ssh                                           | Total                     | 17
app_layer.flow.ntp                                           | Total                     | 531
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 258
app_layer.tx.dns_udp                                         | Total                     | 524
app_layer.tx.ntp                                             | Total                     | 1056
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 109
flow.end.state.established                                   | Total                     | 710
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 168
flow.mgr.full_hash_pass                                      | Total                     | 731
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10501
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2549
flow.mgr.flows_notimeout                                     | Total                     | 1562
flow.mgr.flows_timeout                                       | Total                     | 987
flow.mgr.flows_evicted                                       | Total                     | 987
flow.mgr.flows_evicted_needs_work                            | Total                     | 86
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 901
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1499136
http.memuse                                                  | Total                     | 2016
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 03:11:49 (uptime: 0d, 01h 50m 26s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 155740
capture.afpacket.polls                                       | Total                     | 797761
capture.afpacket.poll_timeout                                | Total                     | 787808
capture.afpacket.poll_data                                   | Total                     | 9953
decoder.pkts                                                 | Total                     | 155739
decoder.bytes                                                | Total                     | 189427247
decoder.ipv4                                                 | Total                     | 154916
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 155739
decoder.arp                                                  | Total                     | 698
decoder.tcp                                                  | Total                     | 153189
tcp.syn                                                      | Total                     | 232
tcp.synack                                                   | Total                     | 197
tcp.rst                                                      | Total                     | 50
decoder.udp                                                  | Total                     | 1842
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 1216
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 29
flow.total                                                   | Total                     | 1107
flow.active                                                  | Total                     | 118
flow.tcp                                                     | Total                     | 208
flow.udp                                                     | Total                     | 889
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 201
tcp.ssn_from_cache                                           | Total                     | 86
tcp.ssn_from_pool                                            | Total                     | 115
tcp.pseudo                                                   | Total                     | 34
tcp.segment_from_cache                                       | Total                     | 8873
tcp.segment_from_pool                                        | Total                     | 276
tcp.stream_depth_reached                                     | Total                     | 4
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 867
app_layer.flow.http                                          | Total                     | 86
app_layer.tx.http                                            | Total                     | 88
app_layer.flow.tls                                           | Total                     | 94
app_layer.flow.ssh                                           | Total                     | 17
app_layer.flow.ntp                                           | Total                     | 531
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 264
app_layer.tx.dns_udp                                         | Total                     | 540
app_layer.tx.ntp                                             | Total                     | 1056
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 109
flow.end.state.established                                   | Total                     | 712
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 168
flow.mgr.full_hash_pass                                      | Total                     | 732
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10503
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2558
flow.mgr.flows_notimeout                                     | Total                     | 1569
flow.mgr.flows_timeout                                       | Total                     | 989
flow.mgr.flows_evicted                                       | Total                     | 989
flow.mgr.flows_evicted_needs_work                            | Total                     | 86
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 903
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1568768
http.memuse                                                  | Total                     | 4032
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 03:11:57 (uptime: 0d, 01h 50m 34s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 155767
capture.afpacket.polls                                       | Total                     | 798482
capture.afpacket.poll_timeout                                | Total                     | 788519
capture.afpacket.poll_data                                   | Total                     | 9963
decoder.pkts                                                 | Total                     | 155766
decoder.bytes                                                | Total                     | 189433049
decoder.ipv4                                                 | Total                     | 154943
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 155766
decoder.arp                                                  | Total                     | 698
decoder.tcp                                                  | Total                     | 153216
tcp.syn                                                      | Total                     | 232
tcp.synack                                                   | Total                     | 197
tcp.rst                                                      | Total                     | 50
decoder.udp                                                  | Total                     | 1842
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 1216
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 29
flow.total                                                   | Total                     | 1107
flow.active                                                  | Total                     | 114
flow.tcp                                                     | Total                     | 208
flow.udp                                                     | Total                     | 889
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 201
tcp.ssn_from_cache                                           | Total                     | 86
tcp.ssn_from_pool                                            | Total                     | 115
tcp.pseudo                                                   | Total                     | 34
tcp.segment_from_cache                                       | Total                     | 8875
tcp.segment_from_pool                                        | Total                     | 276
tcp.stream_depth_reached                                     | Total                     | 4
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 867
app_layer.flow.http                                          | Total                     | 86
app_layer.tx.http                                            | Total                     | 88
app_layer.flow.tls                                           | Total                     | 94
app_layer.flow.ssh                                           | Total                     | 17
app_layer.flow.ntp                                           | Total                     | 531
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 264
app_layer.tx.dns_udp                                         | Total                     | 540
app_layer.tx.ntp                                             | Total                     | 1056
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 109
flow.end.state.established                                   | Total                     | 716
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
flow.end.tcp_state.closed                                    | Total                     | 168
flow.mgr.full_hash_pass                                      | Total                     | 733
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10506
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2577
flow.mgr.flows_notimeout                                     | Total                     | 1584
flow.mgr.flows_timeout                                       | Total                     | 993
flow.mgr.flows_evicted                                       | Total                     | 993
flow.mgr.flows_evicted_needs_work                            | Total                     | 86
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 907
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1568768
http.memuse                                                  | Total                     | 4032
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 03:12:05 (uptime: 0d, 01h 50m 42s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 155800
capture.afpacket.polls                                       | Total                     | 799567
capture.afpacket.poll_timeout                                | Total                     | 789586
capture.afpacket.poll_data                                   | Total                     | 9981
decoder.pkts                                                 | Total                     | 155799
decoder.bytes                                                | Total                     | 189440167
decoder.ipv4                                                 | Total                     | 154976
decoder.ipv6                                                 | Total                     | 125
decoder.ethernet                                             | Total                     | 155799
decoder.arp                                                  | Total                     | 698
decoder.tcp                                                  | Total                     | 153241
tcp.syn                                                      | Total                     | 232
tcp.synack                                                   | Total                     | 197
tcp.rst                                                      | Total                     | 50
decoder.udp                                                  | Total                     | 1850
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 1215
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 29
flow.total                                                   | Total                     | 1111
flow.active                                                  | Total                     | 115
flow.tcp                                                     | Total                     | 208
flow.udp                                                     | Total                     | 893
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
flow.wrk.flows_evicted_needs_work                            | Total                     | 86
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 94
flow.wrk.flows_injected                                      | Total                     | 86
tcp.sessions                                                 | Total                     | 201
tcp.ssn_from_cache                                           | Total                     | 86
tcp.ssn_from_pool                                            | Total                     | 115
tcp.pseudo                                                   | Total                     | 34
tcp.segment_from_cache                                       | Total                     | 8875
tcp.segment_from_pool                                        | Total                     | 276
tcp.stream_depth_reached                                     | Total                     | 4
detect.alert                                                 | Total                     | 4
detect.alerts_suppressed                                     | Total                     | 871
app_layer.flow.http                                          | Total                     | 86
app_layer.tx.http                                            | Total                     | 88
app_layer.flow.tls                                           | Total                     | 94
app_layer.flow.ssh                                           | Total                     | 17
app_layer.flow.ntp                                           | Total                     | 535
app_layer.flow.dhcp                                          | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 86
app_layer.flow.dns_udp                                       | Total                     | 264
app_layer.tx.dns_udp                                         | Total                     | 540
app_layer.tx.ntp                                             | Total                     | 1064
app_layer.tx.dhcp                                            | Total                     | 16
app_layer.tx.mdns                                            | Total                     | 230
flow.end.state.new                                           | Total                     | 110
flow.end.state.established                                   | Total                     | 718
flow.end.state.closed                                        | Total                     | 168
flow.end.tcp_state.syn_sent                                  | Total                     | 4
